1	985402	1165602	34	IND_A_1	153367	31.75	25	0	21.5	0	0.75	0	20.75	1.75	0	1	10.75	3.25	8.25	13.25	153505
1	1342347.407	1550398.407	23	IND_A_2	182357.25	96.25	88	14	32.75	0.5	0.75	0.75	44.75	1.75	0.25	3.25	49.5	9.5	5.5	48.25	182753
1	1677316.095	1963895.095	34	IND_B_2	241584	129.5	104.5	0.5	46.75	0	3.25	2.5	57	4	0	2.75	23.25	2	58.25	67.75	242086
1	2067155.639	2323224.639	34	IND_A_2	209085.5	130.25	162	21.5	42.75	0	0.5	0.25	52.5	3	0	2.25	93	9.5	5.5	47.5	209656
2	748392	1033931	42	IND_B_1	270766	60.25	56	7.75	29.5	0	0	1	45	0	0	1.25	23	7	12	98.25	271107
2	1171955.787	1668775.787	64	IND_B_2	453830.5	191.5	130	3	64.5	0	1.25	1	45	3	0.25	1.75	52.5	38	46.75	87	454496
2	1827421.572	2081206.572	34	IND_A_2	227552.5	122.25	85.25	44.5	48.75	0	0.5	3.5	37.5	1.75	0	6.25	46.25	1.75	4.5	34.75	227990
2	2202206.435	2409186.435	28	IND_A_2	175822	138.5	48.75	23.5	29.25	0	1.75	2.75	36.75	0	1.25	1.75	54.5	0	53.5	57.75	176272
3	1209882	1388050	29	IND_A_1	157791	63.5	26.5	0	28.5	0	0.25	0	21.75	0.25	0	0.5	9.75	0	15.5	36.5	157994
3	1587052.083	1813499.083	31	IND_B_1	187893	55	75.25	0.25	24	0	0.75	0.25	35.25	1.25	0.25	0.25	17	16.25	4	46.25	188169
